Data;Hora;Temperatura;Umidade
27/09/18;0;25.8;66
27/09/18;1200;19.2;94
27/09/18;1800;26;68
28/09/18;0;22.2;89
28/09/18;1200;22.4;81
28/09/18;1800;29.2;53
29/09/18;0;24.8;74
29/09/18;1200;23.2;72
29/09/18;1800;30;48
30/09/18;0;26.2;69
30/09/18;1200;21.8;91
30/09/18;1800;21.6;93
01/10/18;0;20.4;96
01/10/18;1200;20.2;98
01/10/18;1800;31;49
02/10/18;0;26.8;65
02/10/18;1200;23.4;80
02/10/18;1800;30.2;57
03/10/18;0;23.2;91
03/10/18;1200;25.6;73
03/10/18;1800;25;78
04/10/18;0;21.6;95
04/10/18;1200;23.6;84
04/10/18;1800;22;89
05/10/18;0;21;93
05/10/18;1200;20.8;82
05/10/18;1800;26.2;63
06/10/18;0;21.4;73
06/10/18;1200;19.6;66
06/10/18;1800;25.2;59
07/10/18;0;19.4;77
07/10/18;1200;20;78
07/10/18;1800;28;57
08/10/18;0;23.2;75
08/10/18;1200;20;93
08/10/18;1800;21.8;96
09/10/18;0;20.4;98
09/10/18;1200;20.6;95
09/10/18;1800;27;71
10/10/18;0;22.8;90
10/10/18;1200;22.6;95
10/10/18;1800;24;89
11/10/18;0;21.4;94
11/10/18;1200;20;83
11/10/18;1800;22;76
12/10/18;0;19.6;79
12/10/18;1200;21;72
12/10/18;1800;30;54
13/10/18;0;26.6;71
13/10/18;1200;24.2;80
13/10/18;1800;32.8;47
14/10/18;0;23.4;90
14/10/18;1200;22.6;89
14/10/18;1800;27;77
15/10/18;0;23.8;90
15/10/18;1200;21.8;84
15/10/18;1800;30;54
16/10/18;0;25;72
16/10/18;1200;21.2;82
16/10/18;1800;31.8;51
17/10/18;0;24;89
17/10/18;1200;24;75
17/10/18;1800;31;53
18/10/18;0;20.6;95
18/10/18;1200;24.8;75
18/10/18;1800;30.8;57
19/10/18;0;18.8;94
19/10/18;1200;22.2;75
19/10/18;1800;27;65
20/10/18;0;23;77
20/10/18;1200;20.4;73
20/10/18;1800;28;45
21/10/18;0;22.2;60
21/10/18;1200;19.4;61
21/10/18;1800;27.6;42
22/10/18;0;20.8;66
22/10/18;1200;20.6;71
22/10/18;1800;30.4;46
23/10/18;0;25;69
23/10/18;1200;25.2;64
23/10/18;1800;31.4;47
24/10/18;0;22.2;87
24/10/18;1200;18.2;94
24/10/18;1800;18.8;94
25/10/18;0;18.4;98
25/10/18;1200;18.8;98
25/10/18;1800;21;96
26/10/18;0;20.4;96
26/10/18;1200;20;98
26/10/18;1800;22;94
27/10/18;0;21.4;98
27/10/18;1200;23.2;81
27/10/18;1800;28.4;45
28/10/18;0;22;72
28/10/18;1200;20;70
28/10/18;1800;29;47
29/10/18;0;22.6;63
29/10/18;1200;17.8;74
29/10/18;1800;27;51
30/10/18;0;23.2;67
30/10/18;1200;22.2;68
30/10/18;1800;32;45
31/10/18;0;27.8;60
31/10/18;1200;25.2;61
31/10/18;1800;20;83
01/11/18;0;18.6;94
01/11/18;1200;19.6;85
01/11/18;1800;19;98
02/11/18;0;18.8;96
02/11/18;1200;21.6;86
02/11/18;1800;30.6;48
03/11/18;0;26;73
03/11/18;1200;24.4;72
03/11/18;1800;33.6;45
04/11/18;0;24.2;70
04/11/18;1200;22.4;74
04/11/18;1800;28.4;56
05/11/18;0;24.6;70
05/11/18;1200;20;72
05/11/18;1800;29;42
06/11/18;0;23.4;68
